	SRR7054680	SRR5260496	SRR5896114	SRR6201524	ERR4011031	SRR5260494	SRR6201002	ERR4011037	ERR4011033	SRR8561391	ERR4011034	SRR5260448	SRR5896115	SRR6475632	ERR4011035	SRR7054681	SRR5260446	SRR6201526	Erken-D8	SRR5260495	ERR4011032	SRR12685687	ERR4011038	SRR5260447
SRR7054680	NA	0.3260	0.2162	0.3576	0.0899	0.3237	0.4063	0.0922	0.0906	0.2178	0.0938	0.3302	0.2129	0.1144	0.0933	0.0349	0.3139	0.3572	0.0858	0.3184	0.0921	0.3138	0.0958	0.3183
SRR5260496	0.3260	NA	0.4281	0.0984	0.4645	0.0203	0.2128	0.4697	0.4708	0.4257	0.4729	0.0228	0.4243	0.2172	0.4738	0.2781	0.0256	0.1155	0.4552	0.0260	0.4688	0.1525	0.4741	0.0223
SRR5896114	0.2162	0.4281	NA	0.4746	0.2686	0.4242	0.5257	0.2686	0.2744	0.0423	0.2747	0.4383	0.0262	0.3042	0.2744	0.2270	0.4172	0.4786	0.2635	0.4206	0.2700	0.3890	0.2685	0.4216
SRR6201524	0.3576	0.0984	0.4746	NA	0.5043	0.1050	0.1030	0.5079	0.5097	0.4728	0.5108	0.0730	0.4706	0.2035	0.5123	0.2996	0.0978	0.0315	0.4940	0.1037	0.5074	0.2501	0.5130	0.0941
ERR4011031	0.0899	0.4645	0.2686	0.5043	NA	0.4621	0.5478	0.0286	0.0285	0.2706	0.0307	0.4725	0.2647	0.2545	0.0283	0.1211	0.4544	0.5049	0.0414	0.4578	0.0219	0.4373	0.0274	0.4584
SRR5260494	0.3237	0.0203	0.4242	0.1050	0.4621	NA	0.2206	0.4668	0.4682	0.4209	0.4694	0.0265	0.4198	0.2192	0.4712	0.2763	0.0250	0.1217	0.4517	0.0225	0.4658	0.1490	0.4710	0.0208
SRR6201002	0.4063	0.2128	0.5257	0.1030	0.5478	0.2206	NA	0.5507	0.5524	0.5240	0.5542	0.1845	0.5230	0.2406	0.5553	0.3467	0.2099	0.0960	0.5385	0.2185	0.5516	0.3485	0.5563	0.2043
ERR4011037	0.0922	0.4697	0.2686	0.5079	0.0286	0.4668	0.5507	NA	0.0302	0.2705	0.0272	0.4764	0.2652	0.2593	0.0236	0.1250	0.4581	0.5090	0.0428	0.4623	0.0255	0.4437	0.0305	0.4642
ERR4011033	0.0906	0.4708	0.2744	0.5097	0.0285	0.4682	0.5524	0.0302	NA	0.2756	0.0268	0.4783	0.2716	0.2580	0.0270	0.1235	0.4587	0.5108	0.0448	0.4636	0.0253	0.4452	0.0314	0.4645
SRR8561391	0.2178	0.4257	0.0423	0.4728	0.2706	0.4209	0.5240	0.2705	0.2756	NA	0.2771	0.4360	0.0439	0.3068	0.2775	0.2299	0.4140	0.4771	0.2665	0.4183	0.2722	0.3851	0.2706	0.4187
