ID,Longitude,Latitude
SRR7054680,8.57,47.3
SRR5260496,-86.5698,43.1998
SRR5896114,104.9391,51.7874
SRR6201524,-81.73,41.77
ERR4011031,18.6203,59.8376
SRR5260494,-86.5698,43.1998
SRR6201002,-89.404444,43.099444
ERR4011037,18.6203,59.8376
ERR4011033,18.6203,59.8376
SRR8561391,104.9391,51.7874
ERR4011034,18.6203,59.8376
SRR5260448,-86.5698,43.1998
SRR5896115,104.9391,51.7874
SRR6475632,8.57,47.3
ERR4011035,18.6203,59.8376
SRR7054681,8.57,47.3
SRR5260446,-86.5698,43.1998
SRR6201526,-81.73,41.77
Erken-D8,18.64,59.84
SRR5260495,-86.5698,43.1998
ERR4011032,18.6203,59.8376
SRR12685687,-90.99678,46.9443
ERR4011038,18.6203,59.8376
SRR5260447,-86.5698,43.1998
