	SRR1173821	SRR9302961	SRR8075953	SRR7369920	SRR8075965	SRR4198666	SRR8894380	SRR8075990	SRR8075941	SRR7369916	DRR125123	SRR7369919	SRR9302962	SRR6423811	SRR7369917	SRR4198832	SRR9302959	SRR9302960	DRR125121	SRR9302958	SRR8075960	SRR7369918	DRR125122
SRR1173821	NA	0.1910	0.2116	0.1656	0.2419	0.0904	0.1830	0.2406	0.2111	0.1709	0.2011	0.1639	0.1937	0.1821	0.1679	0.0936	0.1867	0.1876	0.2081	0.3714	0.2148	0.1721	0.2025
SRR9302961	0.1910	NA	0.0638	0.0425	0.0972	0.2120	0.0458	0.0941	0.0514	0.0377	0.0402	0.0394	0.0359	0.0460	0.0376	0.2115	0.0438	0.0529	0.0460	0.3479	0.0629	0.0439	0.0428
SRR8075953	0.2116	0.0638	NA	0.0687	0.0745	0.2332	0.0799	0.0707	0.0446	0.0619	0.0491	0.0733	0.0615	0.0725	0.0618	0.2313	0.0793	0.0892	0.0545	0.3736	0.0272	0.0740	0.0544
SRR7369920	0.1656	0.0425	0.0687	NA	0.1035	0.1951	0.0592	0.0981	0.0594	0.0321	0.0501	0.0324	0.0468	0.0434	0.0301	0.1938	0.0604	0.0676	0.0551	0.3618	0.0685	0.0370	0.0502
SRR8075965	0.2419	0.0972	0.0745	0.1035	NA	0.2652	0.1084	0.0366	0.0796	0.0993	0.0822	0.1072	0.0948	0.1067	0.0949	0.2657	0.1116	0.1217	0.0850	0.3933	0.0744	0.1040	0.0897
SRR4198666	0.0904	0.2120	0.2332	0.1951	0.2652	NA	0.2076	0.2632	0.2347	0.1941	0.2215	0.1925	0.2147	0.2059	0.1921	0.0330	0.2103	0.2066	0.2292	0.3813	0.2359	0.1974	0.2245
SRR8894380	0.1830	0.0458	0.0799	0.0592	0.1084	0.2076	NA	0.1026	0.0715	0.0565	0.0598	0.0599	0.0516	0.0660	0.0544	0.2059	0.0354	0.0416	0.0626	0.3066	0.0792	0.0634	0.0580
SRR8075990	0.2406	0.0941	0.0707	0.0981	0.0366	0.2632	0.1026	NA	0.0735	0.0944	0.0789	0.1015	0.0916	0.1064	0.0939	0.2638	0.1075	0.1149	0.0866	0.3903	0.0752	0.1031	0.0866
SRR8075941	0.2111	0.0514	0.0446	0.0594	0.0796	0.2347	0.0715	0.0735	NA	0.0584	0.0440	0.0617	0.0557	0.0648	0.0569	0.2334	0.0708	0.0805	0.0459	0.3691	0.0469	0.0678	0.0453
SRR7369916	0.1709	0.0377	0.0619	0.0321	0.0993	0.1941	0.0565	0.0944	0.0584	NA	0.0442	0.0334	0.0447	0.0406	0.0285	0.1954	0.0538	0.0643	0.0481	0.3599	0.0644	0.0368	0.0464
