	SRR8894380	SRR4198666	ERR3761197	ERR4011035	SRR5260499	ERR3761220	SRR5260500	ERR3761196	ERR4011033	SRR6754098	SRR4198832	SRR6754103	ERR3761214	SRR6754086	ERR3761212	ERR3761218	ERR3761210	SRR6754092	SRR6754100	ERR3761219	ERR3761195	SRR6754093	ERR3761211	ERR4011032	SRR6754088	SRR3184739	ERR3761215	ERR3761206	ERR3761221	SRR5260498	SRR9302960	ERR3761209	ERR3761194	SRR6754102	SRR7054681	SRR12261223	ERR3761213	SRR9302959	SRR1173821	SRR9302962	ERR4011037	SRR6754101	SRR9302961	ERR3761199
SRR8894380	NA	0.4825	0.5324	0.4854	0.5855	0.5233	0.5788	0.5146	0.4817	0.5261	0.4815	0.5286	0.5075	0.5167	0.5015	0.5077	0.5022	0.5124	0.5326	0.5076	0.5461	0.5245	0.5016	0.4818	0.5163	0.5198	0.5048	0.5037	0.5226	0.5814	0.0726	0.5055	0.5261	0.5485	0.4715	0.5789	0.5021	0.0988	0.4926	0.2842	0.4880	0.5133	0.2747	0.5245
SRR4198666	0.4825	NA	0.2803	0.1775	0.3090	0.2597	0.2972	0.2545	0.1737	0.2653	0.0316	0.2742	0.2358	0.2520	0.2282	0.2393	0.2274	0.2444	0.2787	0.2386	0.3093	0.2576	0.2303	0.1747	0.2532	0.2521	0.2341	0.2299	0.2586	0.3032	0.4621	0.2344	0.2717	0.3147	0.1449	0.3042	0.2254	0.4240	0.0976	0.2077	0.1799	0.2525	0.1965	0.2648
ERR3761197	0.5324	0.2803	NA	0.1747	0.4140	0.0927	0.4032	0.0447	0.1647	0.0522	0.2755	0.0731	0.0776	0.0799	0.0842	0.0813	0.0842	0.0777	0.0236	0.0783	0.0658	0.0896	0.0877	0.1786	0.0799	0.2717	0.0732	0.0883	0.0917	0.4055	0.5137	0.0956	0.0728	0.0687	0.2125	0.4077	0.0837	0.4768	0.2597	0.3016	0.1749	0.0474	0.2925	0.0594
ERR4011035	0.4854	0.1775	0.1747	NA	0.3806	0.1437	0.3668	0.1420	0.0360	0.1574	0.1763	0.1643	0.1344	0.1480	0.1126	0.1365	0.1118	0.1409	0.1752	0.1348	0.2053	0.1457	0.1188	0.0453	0.1499	0.2019	0.1304	0.1188	0.1454	0.3738	0.4662	0.1243	0.1567	0.2102	0.0869	0.3682	0.1100	0.4221	0.1529	0.2158	0.0338	0.1391	0.2048	0.1591
SRR5260499	0.5855	0.3090	0.4140	0.3806	NA	0.4098	0.0389	0.3965	0.3713	0.4075	0.2852	0.4124	0.3869	0.3947	0.3835	0.3874	0.3842	0.3906	0.4142	0.3865	0.4288	0.4075	0.3872	0.3758	0.3961	0.3462	0.3842	0.3867	0.4045	0.0377	0.5719	0.3890	0.4094	0.4322	0.3197	0.0941	0.3831	0.5436	0.3397	0.4093	0.3799	0.3952	0.3978	0.4072
ERR3761220	0.5233	0.2597	0.0927	0.1437	0.4098	NA	0.3992	0.0770	0.1361	0.0886	0.2541	0.0666	0.0777	0.0836	0.0655	0.0834	0.0653	0.0806	0.0942	0.0803	0.1086	0.0286	0.0701	0.1430	0.0857	0.2584	0.0783	0.0699	0.0385	0.4032	0.5059	0.0761	0.0642	0.1110	0.1882	0.4027	0.0680	0.4655	0.2352	0.2823	0.1441	0.0798	0.2722	0.0936
SRR5260500	0.5788	0.2972	0.4032	0.3668	0.0389	0.3992	NA	0.3866	0.3599	0.3973	0.2727	0.4029	0.3769	0.3856	0.3727	0.3774	0.3734	0.3818	0.4039	0.3779	0.4198	0.3964	0.3768	0.3629	0.3868	0.3354	0.3737	0.3775	0.3931	0.0350	0.5653	0.3779	0.3993	0.4245	0.3079	0.0909	0.3730	0.5358	0.3277	0.3995	0.3665	0.3833	0.3873	0.3968
ERR3761196	0.5146	0.2545	0.0447	0.1420	0.3965	0.0770	0.3866	NA	0.1345	0.0434	0.2520	0.0638	0.0668	0.0731	0.0652	0.0677	0.0628	0.0665	0.0460	0.0667	0.0756	0.0781	0.0654	0.1470	0.0732	0.2440	0.0651	0.0661	0.0820	0.3890	0.4965	0.0758	0.0622	0.0791	0.1822	0.3879	0.0636	0.4582	0.2322	0.2758	0.1411	0.0184	0.2656	0.0458
ERR4011033	0.4817	0.1737	0.1647	0.0360	0.3713	0.1361	0.3599	0.1345	NA	0.1504	0.1696	0.1548	0.1271	0.1416	0.1063	0.1295	0.1040	0.1347	0.1687	0.1249	0.1978	0.1382	0.1088	0.0378	0.1411	0.1944	0.1221	0.1158	0.1372	0.3660	0.4633	0.1142	0.1494	0.2015	0.0822	0.3601	0.1037	0.4199	0.1493	0.2144	0.0338	0.1382	0.2022	0.1517
SRR6754098	0.5261	0.2653	0.0522	0.1574	0.4075	0.0886	0.3973	0.0434	0.1504	NA	0.2633	0.0795	0.0702	0.0736	0.0834	0.0690	0.0842	0.0700	0.0530	0.0687	0.0945	0.0901	0.0849	0.1614	0.0734	0.2655	0.0659	0.0870	0.0912	0.3994	0.5082	0.0931	0.0752	0.1003	0.1951	0.3999	0.0842	0.4701	0.2472	0.2932	0.1594	0.0457	0.2820	0.0114
