ID,Longitude,Latitude
SRR8894380,102.895,24.541
SRR4198666,-0.6499,39.14
ERR3761197,14.487639,48.846361
ERR4011035,18.6203,59.8376
SRR5260499,-86.5698,43.1998
ERR3761220,14.487639,48.846361
SRR5260500,-86.5698,43.1998
ERR3761196,14.487639,48.846361
ERR4011033,18.6203,59.8376
SRR6754098,14.487639,48.846361
SRR4198832,-0.6499,39.14
SRR6754103,14.487639,48.846361
ERR3761214,14.487639,48.846361
SRR6754086,14.487639,48.846361
ERR3761212,14.487639,48.846361
ERR3761218,14.487639,48.846361
ERR3761210,14.487639,48.846361
SRR6754092,14.487639,48.846361
SRR6754100,14.487639,48.846361
ERR3761219,14.487639,48.846361
ERR3761195,14.487639,48.846361
SRR6754093,14.487639,48.846361
ERR3761211,14.487639,48.846361
ERR4011032,18.6203,59.8376
SRR6754088,14.487639,48.846361
SRR3184739,-122.44,41.93
ERR3761215,14.487639,48.846361
ERR3761206,14.487639,48.846361
ERR3761221,14.487639,48.846361
SRR5260498,-86.5698,43.1998
SRR9302960,102.89,24.57
ERR3761209,14.487639,48.846361
ERR3761194,14.487639,48.846361
SRR6754102,14.487639,48.846361
SRR7054681,8.57,47.3
SRR12261223,-89.405,43.099
ERR3761213,14.487639,48.846361
SRR9302959,102.88,24.48
SRR1173821,-0.2663,38.5355
SRR9302962,100.16,25.94
ERR4011037,18.6203,59.8376
SRR6754101,14.487639,48.846361
SRR9302961,100.15,25.9
ERR3761199,14.487639,48.846361
