	SRR5260494	SRR6201524	SRR5260446	SRR6201526	SRR5260496	SRR7054681	SRR5260495	SRR5260448	SRR5211163	SRR5260447
SRR5260494	NA	0.1079	0.0359	0.1080	0.0288	0.4342	0.0307	0.0337	0.1869	0.0358
SRR6201524	0.1079	NA	0.0988	0.0298	0.1061	0.4382	0.1060	0.0955	0.1806	0.1031
SRR5260446	0.0359	0.0988	NA	0.0952	0.0418	0.4162	0.0379	0.0311	0.1886	0.0292
SRR6201526	0.1080	0.0298	0.0952	NA	0.1081	0.4302	0.1057	0.0953	0.1771	0.0980
SRR5260496	0.0288	0.1061	0.0418	0.1081	NA	0.4350	0.0337	0.0350	0.1896	0.0362
SRR7054681	0.4342	0.4382	0.4162	0.4302	0.4350	NA	0.4340	0.4232	0.4823	0.4154
SRR5260495	0.0307	0.1060	0.0379	0.1057	0.0337	0.4340	NA	0.0371	0.1870	0.0384
SRR5260448	0.0337	0.0955	0.0311	0.0953	0.0350	0.4232	0.0371	NA	0.1865	0.0314
SRR5211163	0.1869	0.1806	0.1886	0.1771	0.1896	0.4823	0.1870	0.1865	NA	0.1897
SRR5260447	0.0358	0.1031	0.0292	0.0980	0.0362	0.4154	0.0384	0.0314	0.1897	NA
