ID,Longitude,Latitude
A1,-77.7,55.23
A2,-77.7,55.23
A2,-77.7,55.23
A3,-77.7,55.23
AM-2014-D3,25.11,61.21
AM-2014-D4,25.11,61.21
AM-lipid-02-D4,25.11,61.21
AM-lipid-02-D5,25.11,61.21
AM-lipid-02-D6,25.11,61.21
AM-lipid-02-D7,25.11,61.21
AM-lipid-02-D8,25.11,61.21
D2,-77.7,55.23
ERR3761232,14.676594,48.616034
ERR3761233,14.676594,48.616034
ERR3761234,14.676594,48.616034
ERR3761235,14.676594,48.616034
ERR3761238,14.676594,48.616034
F3,-77.69,55.23
KR3,25.22,61.22
Ki1-1-6m,20.36,67.93
Ki1-2-2m,20.36,67.93
Ki1-2-7m,20.36,67.93
Ki2-D2,20.37,67.92
Ki2-D3,20.37,67.92
Ki2-D4,20.37,67.92
MJ-2014-D1,25.14,61.23
MJ-2014-D2,25.14,61.23
MJ-2014-D3,25.14,61.23
MJ-2014-D4,25.14,61.23
MJ1,25.14,61.23
MJ110516A,25.14,61.23
MJ110516B,25.14,61.23
MJ110629A,25.14,61.23
MJ110629B,25.14,61.23
MJ110712A,25.14,61.23
MJ110712B,25.14,61.23
MJ110927B,25.14,61.23
MJ111018A,25.14,61.23
MJ111018B,25.14,61.23
MJ120516A,25.14,61.23
MJ120516B,25.14,61.23
MJ120531A,25.14,61.23
MJ120531B,25.14,61.23
MJ120620A,25.14,61.23
MJ120620B,25.14,61.23
MJ120702A,25.14,61.23
MJ120716A,25.14,61.23
MJ120716B,25.14,61.23
MJ120730A,25.14,61.23
MJ120730B,25.14,61.23
MJ120827A,25.14,61.23
MJ120827B,25.14,61.23
MJ120924A,25.14,61.23
MJ130605B,25.14,61.23
MJ130617A,25.14,61.23
MJ130617B,25.14,61.23
MJ130702A,25.14,61.23
MJ130702B,25.14,61.23
MJ130729A,25.14,61.23
MJ130729B,25.14,61.23
MJ130820A,25.14,61.23
MJ130820B,25.14,61.23
MJ130916A,25.14,61.23
MJ130916B,25.14,61.23
MJ2,25.14,61.23
SRR3657431,25.113609,61.208142
SRR3657437,25.113609,61.208142
SRR3657438,25.113609,61.208142
SRR3657439,25.113609,61.208142
SRR3657440,25.113609,61.208142
SRR4029110,-89.686,46.041
SRR4029116,-89.686,46.041
SRR4029117,-89.686,46.041
SRR4029124,-89.686,46.041
SRR4029362,-89.686,46.041
SRR4029365,-89.686,46.041
SRR4029367,-89.686,46.041
SRR4029368,-89.686,46.041
SRR4029370,-89.686,46.041
SRR4029386,-89.686,46.041
SRR4029388,-89.686,46.041
SRR4029394,-89.686,46.041
SRR4029395,-89.686,46.041
SRR4029396,-89.686,46.041
SRR4029397,-89.686,46.041
SRR4029398,-89.686,46.041
SRR4029400,-89.686,46.041
SRR4029401,-89.686,46.041
SRR4029402,-89.686,46.041
SRR4029403,-89.686,46.041
SRR4029409,-89.686,46.041
SRR4029412,-89.686,46.041
SRR4029414,-89.686,46.041
SRR4029415,-89.686,46.041
SRR4029418,-89.686,46.041
SRR4029421,-89.686,46.041
SRR4029423,-89.686,46.041
SRR4029424,-89.686,46.041
SRR9214414,14.676594,48.616034
SRR9214415,14.676594,48.616034
SRR9214417,14.676594,48.616034
Umea2p1,18.78,64.12
Umea2p2,18.78,64.12
Umea2p3,18.78,64.12
Umea3p1,18.78,64.12
Umea3p2,18.78,64.12
Umea3p3,18.78,64.12
Umea3p4,18.78,64.12
VK4,25.06,61.24
YR3,25.21,61.22
