	Loc090116-7m	ERR4011033	Loc090402-7m	ERR3761195	Loc090116-4m	SRR6754101	SRR7054681	SRR4198666	SRR7054680	Loc090116-1m	ERR3761196	SRR6754092	Loc090721-4m	Loc090116-8m	SRR6754102	SRR6475632	SRR4198832
Loc090116-7m	NA	0.3121	0.0317	0.2754	0.0259	0.2033	0.1703	0.2399	0.2242	0.0265	0.2035	0.2159	0.0396	0.0269	0.2692	0.3201	0.2418
ERR4011033	0.3121	NA	0.3158	0.3858	0.3139	0.3394	0.3056	0.3942	0.3697	0.3149	0.3388	0.3445	0.3298	0.3154	0.3802	0.4600	0.3984
Loc090402-7m	0.0317	0.3158	NA	0.2714	0.0277	0.1973	0.1725	0.2362	0.2259	0.0302	0.1972	0.2093	0.0377	0.0308	0.2650	0.3195	0.2384
ERR3761195	0.2754	0.3858	0.2714	NA	0.2744	0.0999	0.3006	0.3158	0.3397	0.2748	0.0973	0.0781	0.2938	0.2758	-0.0012	0.4453	0.3174
Loc090116-4m	0.0259	0.3139	0.0277	0.2744	NA	0.2043	0.1691	0.2397	0.2238	0.0264	0.2037	0.2155	0.0405	0.0238	0.2688	0.3164	0.2423
SRR6754101	0.2033	0.3394	0.1973	0.0999	0.2043	NA	0.2380	0.2537	0.2949	0.2030	0.0080	0.0485	0.2262	0.2045	0.0969	0.3948	0.2541
SRR7054681	0.1703	0.3056	0.1725	0.3006	0.1691	0.2380	NA	0.2811	0.1928	0.1710	0.2388	0.2473	0.1919	0.1730	0.2945	0.1717	0.2843
SRR4198666	0.2399	0.3942	0.2362	0.3158	0.2397	0.2537	0.2811	NA	0.2589	0.2427	0.2524	0.2682	0.2536	0.2433	0.3123	0.4258	0.0232
SRR7054680	0.2242	0.3697	0.2259	0.3397	0.2238	0.2949	0.1928	0.2589	NA	0.2285	0.2921	0.2985	0.2348	0.2262	0.3357	0.3250	0.2662
Loc090116-1m	0.0265	0.3149	0.0302	0.2748	0.0264	0.2030	0.1710	0.2427	0.2285	NA	0.2027	0.2147	0.0425	0.0280	0.2695	0.3181	0.2449
ERR3761196	0.2035	0.3388	0.1972	0.0973	0.2037	0.0080	0.2388	0.2524	0.2921	0.2027	NA	0.0486	0.2250	0.2052	0.0943	0.3953	0.2533
SRR6754092	0.2159	0.3445	0.2093	0.0781	0.2155	0.0485	0.2473	0.2682	0.2985	0.2147	0.0486	NA	0.2355	0.2158	0.0754	0.3974	0.2709
Loc090721-4m	0.0396	0.3298	0.0377	0.2938	0.0405	0.2262	0.1919	0.2536	0.2348	0.0425	0.2250	0.2355	NA	0.0411	0.2879	0.3365	0.2573
Loc090116-8m	0.0269	0.3154	0.0308	0.2758	0.0238	0.2045	0.1730	0.2433	0.2262	0.0280	0.2052	0.2158	0.0411	NA	0.2699	0.3224	0.2445
SRR6754102	0.2692	0.3802	0.2650	-0.0012	0.2688	0.0969	0.2945	0.3123	0.3357	0.2695	0.0943	0.0754	0.2879	0.2699	NA	0.4390	0.3130
SRR6475632	0.3201	0.4600	0.3195	0.4453	0.3164	0.3948	0.1717	0.4258	0.3250	0.3181	0.3953	0.3974	0.3365	0.3224	0.4390	NA	0.4299
SRR4198832	0.2418	0.3984	0.2384	0.3174	0.2423	0.2541	0.2843	0.0232	0.2662	0.2449	0.2533	0.2709	0.2573	0.2445	0.3130	0.4299	NA
