"Accession","Latitude","Longitude"
"SRR12685684","46.87153","-91.10558"
"SRR12685685","46.89501","-91.09353"
"SRR12685686","46.94913","-91.10256"
"SRR12685687","46.9443","-90.99678"
"SRR12676966","49.66","-93.72"
"SRR12261223","43.099","-89.405"
"SRR12261225","43.099","-89.405"
"SRR12261226","43.099","-89.405"
"SRR12261227","43.099","-89.405"
"ERR4011038","59.8376","18.6203"
"ERR4011037","59.8376","18.6203"
"ERR4011035","59.8376","18.6203"
"ERR4011034","59.8376","18.6203"
"ERR4011033","59.8376","18.6203"
"ERR4011032","59.8376","18.6203"
"ERR4011031","59.8376","18.6203"
"ERR3761241","48.616034","14.676594"
"ERR3761240","48.616034","14.676594"
"ERR3761238","48.616034","14.676594"
"ERR3761237","48.616034","14.676594"
"ERR3761235","48.616034","14.676594"
"ERR3761234","48.616034","14.676594"
"ERR3761233","48.616034","14.676594"
"ERR3761232","48.616034","14.676594"
"ERR3761231","48.846361","14.487639"
"ERR3761230","48.846361","14.487639"
"ERR3761229","48.846361","14.487639"
"ERR3761228","48.846361","14.487639"
"ERR3761225","48.846361","14.487639"
"ERR3761224","48.846361","14.487639"
"ERR3761222","48.846361","14.487639"
"ERR3761221","48.846361","14.487639"
"ERR3761220","48.846361","14.487639"
"ERR3761219","48.846361","14.487639"
"ERR3761218","48.846361","14.487639"
"ERR3761217","48.846361","14.487639"
"ERR3761216","48.846361","14.487639"
"ERR3761215","48.846361","14.487639"
"ERR3761214","48.846361","14.487639"
"ERR3761213","48.846361","14.487639"
"ERR3761212","48.846361","14.487639"
"ERR3761211","48.846361","14.487639"
"ERR3761210","48.846361","14.487639"
"ERR3761209","48.846361","14.487639"
"ERR3761206","48.846361","14.487639"
"ERR3761205","48.846361","14.487639"
"ERR3761204","48.846361","14.487639"
"ERR3761203","48.846361","14.487639"
"ERR3761202","48.846361","14.487639"
"ERR3761201","48.846361","14.487639"
"ERR3761200","48.846361","14.487639"
"ERR3761199","48.846361","14.487639"
"ERR3761198","48.846361","14.487639"
"ERR3761197","48.846361","14.487639"
"ERR3761196","48.846361","14.487639"
