ID,Latitude,Longitude,genomelen_bp,GC,mapped_bases,perc_cov,avg_depth
SRR947737,34.261117,-83.950069,1160202.0,29.023739000000003,63098.0,4.2526,0.054385
SRR12685684,46.87153,-91.10558,1160202.0,29.023739000000003,90736.0,1.1357,0.078207
SRR12685685,46.89501,-91.09353,1160202.0,29.023739000000003,77745.0,1.5828,0.06701
SRR12685686,46.94913,-91.10256,1160202.0,29.023739000000003,107942.0,1.8213,0.093037
SRR12685687,46.9443,-90.99678,1160202.0,29.023739000000003,149923.0,2.0343,0.129221
SRR12676966,49.66,-93.72,1160202.0,29.023739000000003,25968.0,1.2499,0.022382
SRR12261223,43.099,-89.405,1160202.0,29.023739000000003,72626.0,4.4215,0.062598
SRR12261225,43.099,-89.405,1160202.0,29.023739000000003,33516.0,2.5497,0.0288879999999999
SRR12261226,43.099,-89.405,1160202.0,29.023739000000003,44090.0,2.6975,0.038002
SRR12261227,43.099,-89.405,1160202.0,29.023739000000003,48614.0,2.9037,0.041901
SRR9302958,27.71,100.78,1160202.0,29.023739000000003,39732518.0,80.0724,34.246204999999996
SRR9302959,24.48,102.88,1160202.0,29.023739000000003,27847696.0,84.5034,24.002454999999998
SRR9302960,24.57,102.89,1160202.0,29.023739000000003,170892923.0,89.1658,147.295835
SRR9302961,25.9,100.15,1160202.0,29.023739000000003,71577945.0,87.0073,61.69439200000001
SRR9302962,25.94,100.16,1160202.0,29.023739000000003,26428159.0,85.6086,22.778934
SRR9302963,24.36,102.79,1160202.0,29.023739000000003,173088.0,11.475,0.14918800000000002
SRR9302965,24.95,102.66,1160202.0,29.023739000000003,4005631.0,78.8924,3.4525300000000003
SRR9289418,41.6656,-87.5497,1160202.0,29.023739000000003,57259.0,3.6843,0.049352999999999994
SRR9214414,48.616034,14.676594,1160202.0,29.023739000000003,541.0,0.0242,0.000466
SRR9214415,48.616034,14.676594,1160202.0,29.023739000000003,354.0,0.018000000000000002,0.000305
SRR9199084,48.616034,14.676594,1160202.0,29.023739000000003,1739.0,0.1078,0.0014990000000000001
SRR9214417,48.616034,14.676594,1160202.0,29.023739000000003,3571.0,0.2531,0.003078
SRR9214418,48.616034,14.676594,1160202.0,29.023739000000003,450.0,0.0259,0.000388
