ID,Latitude,Longitude,genomelen_bp,GC,mapped_bases,perc_cov,avg_depth
SRR2016482,44.90415,-93.190417,1161863.0,40.218425,0.0,0.0,0.0
SRR1169878,44.7488,-92.8057,1161863.0,40.218425,0.0,0.0,0.0
SRR1169859,47.3473,-95.1825,1161863.0,40.218425,0.0,0.0,0.0
SRR947737,34.261117,-83.950069,1161863.0,40.218425,83763.0,2.4019,0.072094
SRR12685684,46.87153,-91.10558,1161863.0,40.218425,3989613.0,78.5985,3.433806
SRR12685685,46.89501,-91.09353,1161863.0,40.218425,3870588.0,80.74,3.331362
SRR12685686,46.94913,-91.10256,1161863.0,40.218425,3918488.0,82.2038,3.372587
SRR12685687,46.9443,-90.99678,1161863.0,40.218425,5636686.0,86.847,4.851421
SRR12676966,49.66,-93.72,1161863.0,40.218425,86179.0,2.9909,0.074173
SRR12676967,49.66,-93.75,1161863.0,40.218425,30982.0,0.3928,0.026666
SRR12676971,49.7,-93.73,1161863.0,40.218425,11769.0,0.2988,0.010129
SRR12676970,49.69,-93.69,1161863.0,40.218425,20218.0,0.3412,0.017401
SRR12676972,49.69,-93.69,1161863.0,40.218425,91093.0,0.621,0.078403
SRR12676973,49.69,-93.69,1161863.0,40.218425,32789.0,0.4211,0.028221
SRR12676974,49.69,-93.69,1161863.0,40.218425,167846.0,2.2786,0.144463
SRR12676975,49.69,-93.69,1161863.0,40.218425,168189.0,2.394,0.144758
SRR12486991,37.304056,127.618611,1161863.0,40.218425,122145.0,2.3447,0.105129
SRR12486992,37.304056,127.618611,1161863.0,40.218425,334337.0,9.9118,0.28776
SRR12486994,37.304056,127.618611,1161863.0,40.218425,580563.0,12.6469,0.499683
SRR12486995,35.364169,127.146461,1161863.0,40.218425,12984.0,0.3615,0.011175
SRR12486997,35.364169,127.146461,1161863.0,40.218425,42124.0,0.6245,0.036256
SRR12486998,35.610764,126.850397,1161863.0,40.218425,23550.0,0.5575,0.020269
SRR12487000,35.610764,126.850397,1161863.0,40.218425,48767.0,0.9519,0.041973
SRR12487001,35.927978,128.311344,1161863.0,40.218425,401365.0,12.1604,0.345449
SRR12487002,37.141433,127.6271,1161863.0,40.218425,33069.0,0.2811,0.028462
SRR12487005,36.408139,128.261722,1161863.0,40.218425,25213.0,0.3482,0.0217
SRR12487007,36.408139,128.261722,1161863.0,40.218425,23254.0,0.378,0.020014
SRR12487010,35.880608,127.032675,1161863.0,40.218425,15552.0,0.1994,0.013385
