ID,Latitude,Longitude,genomelen_bp,GC,mapped_bases,perc_cov,avg_depth
SRR947737,34.261117,-83.950069,618749.0,44.63021330400857,0.0,0.0,0.0
SRR12685684,46.87153,-91.10558,618749.0,44.63021330400857,6795.0,0.8790549301897862,0.0109818841274894
SRR12685685,46.89501,-91.09353,618749.0,44.63021330400857,8305.0,1.0191625932324742,0.0134220496938176
SRR12685686,46.94913,-91.10256,618749.0,44.63021330400857,1359.0,0.1994531604899563,0.0021965869682213
SRR12685687,46.9443,-90.99678,618749.0,44.63021330400857,3775.0,0.5287967206411647,0.0061010329148006
SRR12676966,49.66,-93.72,618749.0,44.63021330400857,0.0,0.0,0.0
SRR12261223,43.099,-89.405,618749.0,44.63021330400857,16451.0,2.1210298135431334,0.0265874951345375
SRR12261225,43.099,-89.405,618749.0,44.63021330400857,17362.0,2.3610701531638845,0.0280597897822865
SRR12261226,43.099,-89.405,618749.0,44.63021330400857,24906.0,3.045991774855394,0.0402524327409014
SRR12261227,43.099,-89.405,618749.0,44.63021330400857,19777.0,2.657777121255954,0.0319627187793434
SRR9302958,27.71,100.78,618749.0,44.63021330400857,0.0,0.0,0.0
SRR9302959,24.48,102.88,618749.0,44.63021330400857,6749.0,0.6036521083670439,0.0109074881203848
SRR9302960,24.57,102.89,618749.0,44.63021330400857,1050.0,0.1696899143271343,0.0016968991432713
SRR9302961,25.9,100.15,618749.0,44.63021330400857,2399.0,0.2847627262427899,0.0038771730507847
SRR9302962,25.94,100.16,618749.0,44.63021330400857,63142.0,7.062014332467608,0.1020479333639327
SRR9302963,24.36,102.79,618749.0,44.63021330400857,5699.0,0.7584568770212154,0.0092105404905704
SRR9302965,24.95,102.66,618749.0,44.63021330400857,57745.0,7.159776288123293,0.0933256558556054
SRR9289418,41.6656,-87.5497,618749.0,44.63021330400857,36556.0,4.8793683996256965,0.0590805647152561
SRR9214414,48.616034,14.676594,618749.0,44.63021330400857,13.0,0.0020979238754325,2.097923875432526e-05
SRR9214415,48.616034,14.676594,618749.0,44.63021330400857,86.0,0.0139058126962629,0.0001390581269626
SRR9199084,48.616034,14.676594,618749.0,44.63021330400857,13.0,0.0020983743004029,2.0983743004029097e-05
SRR9214417,48.616034,14.676594,618749.0,44.63021330400857,1814.0,0.2931703517904675,0.0029317035179046
SRR9214418,48.616034,14.676594,618749.0,44.63021330400857,0.0,0.0,0.0
SRR8894378,24.541,102.895,618749.0,44.63021330400857,8400.0,1.1967763412950971,0.013575764132144
SRR8894379,24.541,102.895,618749.0,44.63021330400857,3450.0,0.5270218620151306,0.0055757991770491
SRR8894380,24.541,102.895,618749.0,44.63021330400857,749.0,0.0968136274967717,0.0012103310098278
SRR8894381,24.541,102.895,618749.0,44.63021330400857,7050.0,1.0079933137669719,0.0113940319515667
SRR8894382,24.541,102.895,618749.0,44.63021330400857,1800.0,0.2887753203641541,0.0029089048499472
SRR8561390,51.7874,104.9391,618749.0,44.63021330400857,0.0,0.0,0.0
SRR8561391,51.7874,104.9391,618749.0,44.63021330400857,0.0,0.0,0.0
SRR8517158,49.77,-93.82,618749.0,44.63021330400857,0.0,0.0,0.0
SRR8517159,49.77,-93.82,618749.0,44.63021330400857,0.0,0.0,0.0
SRR8517160,49.69,-93.69,618749.0,44.63021330400857,0.0,0.0,0.0
SRR8517161,49.69,-93.69,618749.0,44.63021330400857,0.0,0.0,0.0
SRR8517163,49.69,-93.69,618749.0,44.63021330400857,0.0,0.0,0.0
SRR8209852,22.5121,88.3637,618749.0,44.63021330400857,0.0,0.0,0.0
SRR8126712,38.91,-76.96,618749.0,44.63021330400857,742.0,0.1065075339111659,0.0011993204207198
SRR8126725,38.91,-76.96,618749.0,44.63021330400857,1133.0,0.0974735530885706,0.0018311014207699
SRR8126731,38.91,-76.96,618749.0,44.63021330400857,4995.0,0.6233482997144238,0.0080727379228087
SRR8075935,34.261117,-83.950069,618749.0,44.63021330400857,0.0,0.0,0.0
SRR8075938,34.261117,-83.950069,618749.0,44.63021330400857,0.0,0.0,0.0
SRR8075941,31.662940000000003,-85.062168,618749.0,44.63021330400857,300.0,0.0484814708387407,0.0004848147083874
SRR8075947,29.719071999999997,-84.981177,618749.0,44.63021330400857,5399.0,0.4819379782431972,0.0087255983039972
SRR8075949,31.662940000000003,-85.062168,618749.0,44.63021330400857,0.0,0.0,0.0
SRR8075950,34.261117,-83.950069,618749.0,44.63021330400857,0.0,0.0,0.0
SRR8075952,32.933463,-85.19634,618749.0,44.63021330400857,0.0,0.0,0.0
SRR8075953,32.933463,-85.19634,618749.0,44.63021330400857,0.0,0.0,0.0
