ID,Latitude,Longitude,genomelen_bp,GC,mapped_bases,perc_cov,avg_depth
SRR2016482,44.90415,-93.190417,656184.0,46.41045790705808,0.0,0.0,0.0
SRR1169878,44.7488,-92.8057,656184.0,46.41045790705808,0.0,0.0,0.0
SRR1169859,47.3473,-95.1825,656184.0,46.41045790705808,0.0,0.0,0.0
SRR947737,34.261117,-83.950069,656184.0,46.41045790705808,0.0,0.0,0.0
SRR12685684,46.87153,-91.10558,656184.0,46.41045790705808,14185.0,0.891828959864916,0.0216175313402947
SRR12685685,46.89501,-91.09353,656184.0,46.41045790705808,10411.0,0.7665514707764896,0.0158660898482742
SRR12685686,46.94913,-91.10256,656184.0,46.41045790705808,19624.0,0.9465329131767918,0.0299063121654901
SRR12685687,46.9443,-90.99678,656184.0,46.41045790705808,21425.0,1.0330841315850432,0.0326509708252563
SRR12676966,49.66,-93.72,656184.0,46.41045790705808,5266.0,0.4882659758543335,0.0080251613815637
SRR12676967,49.66,-93.75,656184.0,46.41045790705808,20347.0,1.3932013569364692,0.0310081465183546
SRR12676971,49.7,-93.73,656184.0,46.41045790705808,6873.0,0.6670378607219926,0.0104742523667142
SRR12676970,49.69,-93.69,656184.0,46.41045790705808,33373.0,1.6612709180656646,0.0508591954878509
SRR12676972,49.69,-93.69,656184.0,46.41045790705808,90226.0,2.4420040430732843,0.1375011723662875
SRR12676973,49.69,-93.69,656184.0,46.41045790705808,80547.0,2.57993759585726,0.1227505550348682
SRR12676974,49.69,-93.69,656184.0,46.41045790705808,5952.0,0.6388280220182144,0.0090706168178437
SRR12676975,49.69,-93.69,656184.0,46.41045790705808,9843.0,0.8183607799031979,0.0150002215613303
SRR12486991,37.304056,127.618611,656184.0,46.41045790705808,755.0,0.1150641341453007,0.0011505619216561
SRR12486992,37.304056,127.618611,656184.0,46.41045790705808,1359.0,0.1840883209587555,0.0020709917736488
SRR12486994,37.304056,127.618611,656184.0,46.41045790705808,151.0,0.023007354644429,0.0002300735464442
SRR12486995,35.364169,127.146461,656184.0,46.41045790705808,72002.0,3.55251162189264,0.109728486770479
SRR12486997,35.364169,127.146461,656184.0,46.41045790705808,92667.0,4.225936145197079,0.1412210627476439
SRR12486998,35.610764,126.850397,656184.0,46.41045790705808,11773.0,1.1589626114016802,0.0179416964890945
SRR12487000,35.610764,126.850397,656184.0,46.41045790705808,9808.0,1.015262320324787,0.0149469904417053
SRR12487001,35.927978,128.311344,656184.0,46.41045790705808,76672.0,3.783239061909464,0.1168454063829657
SRR12487002,37.141433,127.6271,656184.0,46.41045790705808,755.0,0.1150495108079441,0.0011504951080794
SRR12487005,36.408139,128.261722,656184.0,46.41045790705808,64292.0,3.5938078698962483,0.0979784907236385
SRR12487007,36.408139,128.261722,656184.0,46.41045790705808,73356.0,3.8397859242224737,0.1117919916258244
SRR12487010,35.880608,127.032675,656184.0,46.41045790705808,21432.0,1.8519148578752305,0.0326614205314363
