Accession,Latitude,Longitude,perc_cov,avg_depth
SRR7054681,47.3,8.57,62.28268463694502,3.9561569105397583
SRR6754087,48.846361,14.487639000000001,58.20775284477525,55.061197170467494
SRR6754089,48.846361,14.487639000000001,52.4878183830912,31.05997062327334
SRR6754093,48.846361,14.487639000000001,62.89728558283702,100.39474490897341
SRR6754103,48.846361,14.487639000000001,54.0390355054786,18.841844793719567
SRR6475631,47.3,8.57,54.22071299289129,2.248554976127082
SRR6475632,47.3,8.57,70.83179544327908,6.305677492874745
SRR6201002,43.099444,-89.404444,80.61368254399541,3.488874110046944
SRR5260500,43.1998,-86.5698,67.54819856083279,3.1887075042808246
SRR5260499,43.1998,-86.5698,80.65893150394656,5.373571984422954
SRR5260498,43.1998,-86.5698,73.41990676352465,3.992835682009436
SRR5260448,43.1998,-86.5698,57.23381753247119,6.125059092741733
SRR5260446,43.1998,-86.5698,65.47098022079908,7.8766640569040085
SRR3184739,41.93,-122.44,65.82664539842139,4.334027665235788
SRR3184738,41.93,-122.44,65.50016132287384,3.3183633320993287
SRR3184736,41.97,-122.3,68.55446835411769,19.498363942627037
ERR4011038,59.8376,18.6203,84.25084052247075,10.011867579674828
ERR4011037,59.8376,18.6203,85.78681611576415,14.132609001789579
ERR4011035,59.8376,18.6203,85.28288755766116,12.661952010394941
ERR4011034,59.8376,18.6203,82.92737069080971,7.399785906137265
ERR4011033,59.8376,18.6203,86.83080443267154,15.047517298300425
ERR4011032,59.8376,18.6203,86.86197569691791,15.057715256512784
ERR4011031,59.8376,18.6203,85.52528801282472,11.672218197340785
ERR3761225,48.846361,14.487639000000001,52.85850682734721,27.298070011243077
ERR3761224,48.846361,14.487639000000001,53.609289986486594,27.57498370786685
ERR3761221,48.846361,14.487639000000001,58.22064750209672,49.775321159678036
ERR3761220,48.846361,14.487639000000001,57.95636392440755,50.3175115981955
ERR3761213,48.846361,14.487639000000001,54.13104309360404,15.772328515232124
ERR3761212,48.846361,14.487639000000001,53.6517007356544,15.608978395083193
ERR3761211,48.846361,14.487639000000001,52.11725767015214,14.029193923508615
ERR3761210,48.846361,14.487639000000001,52.49453788661485,13.982907998771513
ERR3761194,48.846361,14.487639000000001,54.0390355054786,18.841844793719567
