Accession,Latitude,Longitude,perc_cov,avg_depth
SRR9302958,27.71,100.78,80.0724,34.246204999999996
SRR9302959,24.48,102.88,84.5034,24.002454999999998
SRR9302960,24.57,102.89,89.1658,147.295835
SRR9302961,25.9,100.15,87.0073,61.69439200000001
SRR9302962,25.94,100.16,85.6086,22.778934
SRR9302965,24.95,102.66,78.8924,3.4525300000000003
SRR8894380,24.541,102.895,87.4093,85.743142
SRR8894381,24.541,102.895,74.5447,2.983438
SRR8075941,31.662940000000003,-85.062168,82.1482,6.316269
SRR8075953,32.933463,-85.19634,79.3327,9.2488
SRR8075960,32.664623999999996,-85.087393,76.6491,7.177536999999999
SRR8075964,31.662940000000003,-85.062168,73.2793,4.116244
SRR8075965,32.664623999999996,-85.087393,81.5507,6.201821
SRR8075977,31.662940000000003,-85.062168,60.2082,2.24586
SRR8075978,32.933463,-85.19634,71.2076,4.007077
SRR8075986,30.743083000000002,-84.858652,73.0887,2.423812
SRR8075990,32.933463,-85.19634,80.5928,5.135544
SRR8075992,32.664623999999996,-85.087393,74.0002,5.191647
SRR8075993,31.662940000000003,-85.062168,58.3791,2.607796
SRR7369908,33.11,120.26,80.2361,3.2553959999999997
SRR7369909,33.11,120.26,75.9993,2.434352
SRR7369910,33.11,120.26,76.9494,2.666684
SRR7369915,33.11,120.26,85.7892,5.524286
SRR7369916,33.11,120.26,86.7689,6.768363000000001
SRR7369917,33.11,120.26,86.8145,6.862063
SRR7369918,33.11,120.26,85.617,5.416524
SRR7369919,33.11,120.26,85.4711,4.905434
SRR7369920,33.11,120.26,85.3611,4.964915
SRR7369921,33.11,120.26,81.1387,3.139694
SRR7369922,33.11,120.26,82.9514,3.792649
SRR6986809,31.09,121.21,67.9832,2.01347
SRR6986824,34.55,118.41,77.4447,3.3522839999999996
SRR6423802,1.42,103.72,72.9643,2.228936
SRR6423804,1.38,103.92,76.807,2.5990189999999997
SRR6423807,1.39,103.92,82.3568,3.381496
SRR6423811,1.29,103.86,86.3201,6.80507
SRR5338504,39.14,-0.65,86.4925,19.713561
SRR4198832,39.14,-0.6499,87.1403,13.09885
SRR4198666,39.14,-0.6499,86.3846,13.641801999999998
SRR1173821,38.5355,-0.2663,87.4694,9.719188
DRR125123,35.2193,135.9957,85.5415,20.985903
DRR125122,35.2193,135.9957,86.98299999999999,58.231126
DRR125121,35.2193,135.9957,84.9909,24.937381
SRR7646214,-27.263585,152.936751,80.1672,3.025039
SRR7646215,-27.263585,152.936751,82.3538,3.564515
SRR7646219,-27.263585,152.936751,83.01,4.187233
