Accession,Latitude,Longitude,perc_cov,avg_depth
SRR12685684,46.87153,-91.10558,78.5985,3.4338059999999997
SRR12685685,46.89501,-91.09353,80.74,3.3313620000000004
SRR12685686,46.94913,-91.10256,82.2038,3.3725870000000002
SRR12685687,46.9443,-90.99678,86.84700000000001,4.851421
SRR9302958,27.71,100.78,71.47800000000001,13.147735999999998
SRR9302960,24.57,102.89,57.4893,6.477708
SRR8894380,24.541,102.895,54.3387,7.681781
SRR8561390,51.7874,104.9391,63.94509999999999,3.053428
SRR8561391,51.7874,104.9391,66.2847,3.4616830000000003
SRR7054680,47.3,8.57,89.4323,12.796305
SRR7054681,47.3,8.57,92.47466999999999,52.526393000000006
SRR6475632,47.3,8.57,91.49538000000001,30.822350000000004
SRR6475633,47.3,8.57,74.5436,4.5205150000000005
SRR6201526,41.77,-81.73,95.05389,18.859182999999998
SRR6201524,41.77,-81.73,95.65111999999999,28.751694
SRR5896114,51.7874,104.9391,76.9207,8.35324
SRR5896115,51.7874,104.9391,77.8738,8.738572
SRR5338504,39.14,-0.65,71.4218,9.093072
SRR5260500,43.1998,-86.5698,60.3117,2.268854
SRR5260499,43.1998,-86.5698,59.7434,2.047216
SRR5260498,43.1998,-86.5698,64.1271,2.5981799999999997
SRR5260496,43.1998,-86.5698,96.5539,63.36379899999999
SRR5260495,43.1998,-86.5698,96.09756,41.670553999999996
SRR5260494,43.1998,-86.5698,96.59056,65.486306
SRR5260448,43.1998,-86.5698,96.80298,86.729716
SRR5260447,43.1998,-86.5698,96.35843,42.751437
SRR5260446,43.1998,-86.5698,96.58247,55.859590000000004
SRR5211163,45.4091,-72.0994,92.24056999999999,21.591739999999998
SRR4198832,39.14,-0.6499,75.7464,6.488881
SRR4198666,39.14,-0.6499,78.9296,9.481421000000001
SRR1173821,38.5355,-0.2663,70.5808,4.820644000000001
SRR3184724,43.92,-122.81,82.9111,4.9943
SRR3184721,43.92,-122.81,86.3207,7.761217999999999
SRR3184720,43.92,-122.81,83.5306,5.364689
SRR3184719,43.92,-122.81,84.7808,6.269248999999999
SRR3184718,43.92,-122.81,83.335,5.218318
SRR3184714,43.92,-122.81,82.2447,3.8155379999999997
SRR3184713,43.92,-122.81,80.0546,2.805079
ERR4011038,59.8376,18.6203,69.6354,4.426409
ERR4011037,59.8376,18.6203,71.26,4.959669
ERR4011035,59.8376,18.6203,68.0247,3.482853
ERR4011034,59.8376,18.6203,63.08059999999999,2.387407
ERR4011033,59.8376,18.6203,72.0525,5.106701
ERR4011032,59.8376,18.6203,68.4713,3.587729
ERR4011031,59.8376,18.6203,68.6315,3.7271739999999998
