ID,coordinates
SRR2083509,43.20 N 79.27 W
SRR2083504,43.20 N 79.27 W
SRR2083231,43.20 N 79.27 W
SRR2083230,43.21 N 79.26 W
SRR2083227,43.20 N 79.27 W
SRR2083225,43.26 N 79.07 W
SRR2083224,43.22 N 79.62 W
SRR2083223,42.86 N 79.39 W
SRR2083222,42.87 N 79.40 W
SRR2083221,42.87 N 79.42 W
SRR2083220,42.87 N 79.40 W
SRR2083219,42.87 N 79.23 W
SRR2083218,42.87 N 79.43 W
SRR2083217,43.20 N 79.27 W
SRR2083216,43.26 N 79.07 W
SRR2083215,43.22 N 79.62 W
SRR2083214,42.87 N 79.40 W
SRR2083213,42.87 N 79.23 W
SRR2016484,44.90415 N 93.190417 W
SRR2016482,44.90415 N 93.190417 W
SRR1994395,31.27 N 120.26 E
SRR1972501,31.27 N 120.26 E
SRR1917538,40.968 N 124.226 W
SRR1582517,40.013 N 116.385 E
SRR1582516,40.013 N 116.385 E
SRR1582515,40.013 N 116.385 E
SRR1582514,40.013 N 116.385 E
SRR1582512,40.014 N 116.380 E
SRR1582511,40.017 N 116.379 E
SRR1582510,40.017 N 116.379 E
SRR1582509,40.015 N 116.390 E
SRR1582508,40.013 N 116.388 E
SRR1582507,40.013 N 116.385 E
SRR1582506,40.012 N 116.383 E
SRR1582501,40.012 N 116.381 E
SRR1582500,40.012 N 116.381 E
SRR1581195,40.013 N 116.385 E
SRR1581191,40.013 N 116.385 E
SRR1581188,40.013 N 116.385 E
SRR1523359,33.049631 N 117.291353 W
SRR1523356,33.049631 N 117.291353 W
SRR1523360,33.049631 N 117.291353 W
SRR1173877,38.5355 N 0.2663 W
SRR1169884,44.3144 N 91.996 W
SRR1169883,43.8567 N 91.3033 W
SRR1169882,44.5669 N 92.5377 W
SRR1169878,44.7488 N 92.8057 W
SRR1169874,44.7458 N 92.8502 W
SRR1169873,44.9179 N 93.129 W
SRR1169871,44.8856 N 93.1741 W
SRR1169870,44.9042 N 93.1904 W
SRR1169861,45.4195 N 94.0422 W
SRR1169860,45.5476 N 94.1455 W
SRR1169859,47.3473 N 95.1825 W
SRR1044925,44.917867 N 93.128967 W
SRR1044924,44.917867 N 93.128967 W
SRR1044687,44.917867 N 93.128967 W
SRR1044686,44.917867 N 93.128967 W
SRR1044685,44.917867 N 93.128967 W
SRR1044684,44.917867 N 93.128967 W
SRR1044683,44.917867 N 93.128967 W
SRR1044682,44.917867 N 93.128967 W
SRR1044681,44.917867 N 93.128967 W
SRR1044679,44.917867 N 93.128967 W
SRR1044678,44.917867 N 93.128967 W
SRR1044677,44.917867 N 93.128967 W
SRR1039498,44.917867 N 93.128967 W
SRR1039496,44.917867 N 93.128967 W
SRR1039494,44.917867 N 93.128967 W
SRR1039491,44.917867 N 93.128967 W
SRR1039490,44.917867 N 93.128967 W
SRR1039488,44.917867 N 93.128967 W
SRR1039486,44.917867 N 93.128967 W
SRR1039484,44.917867 N 93.128967 W
SRR1039483,44.917867 N 93.128967 W
SRR1039482,44.917867 N 93.128967 W
SRR1039480,44.917867 N 93.128967 W
SRR1039479,44.917867 N 93.128967 W
SRR1039478,44.917867 N 93.128967 W
SRR947737,34.261117 N 83.950069 W
SRR14576896,30.46 N 120.12 E
SRR14576897,30.46 N 120.13 E
SRR14576898,30.46 N 120.13 E
SRR14576899,30.46 N 120.12 E
SRR14576900,30.46 N 120.12 E
SRR14576901,30.46 N 120.12 E
SRR14576902,30.46 N 120.13 E
SRR14576903,30.46 N 120.13 E
SRR14576904,30.46 N 120.12 E
SRR14576905,30.46 N 120.12 E
SRR14576906,30.46 N 120.12 E
SRR14576907,30.46 N 120.12 E
SRR14576908,30.46 N 120.12 E
SRR14576909,30.46 N 120.12 E
SRR14576910,30.46 N 120.12 E
SRR14576911,30.46 N 120.12 E
SRR14576912,30.46 N 120.13 E
SRR14576913,30.46 N 120.13 E
SRR14576914,30.46 N 120.12 E
SRR14576915,30.46 N 120.12 E
SRR14576916,30.46 N 120.12 E
SRR14576917,30.46 N 120.12 E
SRR14576918,30.46 N 120.13 E
SRR14576919,30.46 N 120.13 E
SRR14576920,30.46 N 120.13 E
SRR14576921,30.46 N 120.12 E
SRR14576922,30.46 N 120.12 E
SRR14576923,30.46 N 120.12 E
SRR14576924,30.46 N 120.12 E
SRR14576925,30.46 N 120.13 E
SRR14576926,30.46 N 120.13 E
SRR14576927,30.46 N 120.12 E
SRR14576928,30.46 N 120.12 E
SRR14576929,30.46 N 120.12 E
SRR14576930,30.46 N 120.13 E
SRR14576931,30.46 N 120.12 E
SRR14371733,41.91 N 83.21 W
SRR14371734,41.76 N 83.32 W
SRR14333789,41.7025 N 83.2547 W
SRR14333790,41.7025 N 83.2547 W
SRR14333791,41.7343 N 83.3023 W
SRR14333792,41.7343 N 83.3023 W
SRR14333793,41.7404662744343 N 83.2993922637013 W
SRR14332019,41.7752798990724 N 83.3431548762416 W
SRR14332020,41.7636 N 83.3306 W
SRR14332021,41.7636 N 83.3306 W
SRR14332022,41.83262 N 83.35813 W
SRR14332023,41.83262 N 83.35813 W
SRR14332024,41.833835 N 83.27891 W
SRR14332025,41.833835 N 83.27891 W
SRR14332026,41.793906 N 83.133142 W
SRR14332027,41.743940917389 N 83.1359709171918 W
SRR14332028,41.793906 N 83.133142 W
SRR14332029,41.7347 N 83.3059 W
SRR14332030,41.7347 N 83.3059 W
SRR14332031,41.7344 N 83.3005 W
SRR14332032,41.7344 N 83.3005 W
SRR14332033,41.7311 N 83.2988 W
SRR14332034,41.7311 N 83.2988 W
SRR14332035,41.8242 N 83.3094 W
SRR14332036,41.8242 N 83.3094 W
SRR14332037,41.8337 N 83.1839 W
SRR14332038,41.7404662744343 N 83.2993922637013 W
SRR14332039,41.8337 N 83.1839 W
SRR14332040,41.7346 N 83.2967 W
SRR14332041,41.7346 N 83.2967 W
SRR14332042,41.7345 N 83.3009 W
SRR14332043,41.7345 N 83.3009 W
SRR14332044,41.739167 N 83.302683 W
SRR14332045,41.739167 N 83.302683 W
SRR14332046,41.740767 N 83.30555 W
SRR14332047,41.740767 N 83.30555 W
SRR14332049,41.7360136917041 N 83.3035882160197 W
SRR14332050,41.7360136917041 N 83.3035882160197 W
SRR14332051,41.7024861421279 N 83.2553651217802 W
SRR14332052,41.7024861421279 N 83.2553651217802 W
SRR14332053,41.7376466850762 N 83.3029670351321 W
SRR14332054,41.7376466850762 N 83.3029670351321 W
SRR14332055,41.7752798990724 N 83.3431548762416 W
SRR14309022,41.740570017061 N 83.3054293134153 W
SRR14308729,41.8343088900365 N 83.2782487430434 W
SRR14308730,41.8500471819944 N 83.1943278216303 W
SRR14308731,41.7307472759595 N 83.2973403578518 W
SRR14308732,41.740570017061 N 83.3054293134153 W
SRR14308733,41.8500471819944 N 83.1943278216303 W
SRR14308734,41.7931672603972 N 83.1326903256534 W
SRR14308735,41.7931672603972 N 83.1326903256534 W
SRR14308736,41.7354287366086 N 83.305168566954 W
SRR14308737,41.7354287366086 N 83.305168566954 W
SRR14308738,41.7353919305416 N 83.2984918812941 W
SRR14308740,41.743940917389 N 83.1359709171918 W
SRR14308741,41.7038618714297 N 83.2556191934697 W
SRR14308742,41.7038618714297 N 83.2556191934697 W
SRR14308743,41.7368703958466 N 83.3007964904881 W
SRR14308744,41.7368703958466 N 83.3007964904881 W
SRR14308745,41.7356662663123 N 83.2998509698307 W
SRR14308746,41.7356662663123 N 83.2998509698307 W
SRR14308747,41.7427394681466 N 83.1368766153367 W
SRR14308748,41.7427394681466 N 83.1368766153367 W
SRR14308749,41.734946321248 N 83.3002480999798 W
SRR14308750,41.7307472759595 N 83.2973403578518 W
SRR14308751,41.734946321248 N 83.3002480999798 W
SRR14308752,41.7345139358975 N 83.3008948955596 W
SRR14308753,41.7345139358975 N 83.3008948955596 W
SRR14308754,41.7734850688172 N 83.3441027104068 W
SRR14308755,41.7734850688172 N 83.3441027104068 W
SRR14308756,41.8338712604238 N 83.3577684318652 W
SRR14308757,41.8338712604238 N 83.3577684318652 W
SRR14308758,41.8343088900365 N 83.2782487430434 W
SRR14307622,27.96 N 120.71 E
SRR14307623,27.95 N 120.70 E
SRR14307624,28.02 N 120.65 E
SRR14307625,28.01 N 120.65 E
SRR14307626,27.96 N 120.71 E
SRR14307627,27.95 N 120.70 E
SRR14307628,28.02 N 120.65 E
SRR14307629,28.01 N 120.65 E
SRR14288954,41.7987035209042 N 83.3439342131621 W
