ID,Latitude,Longitude,Includes_organism
SRR2083509,43.2,-79.27,no
SRR2083504,43.2,-79.27,no
SRR2083231,43.2,-79.27,no
SRR2083230,43.21,-79.26,no
SRR2083227,43.2,-79.27,no
SRR2083225,43.26,-79.07,no
SRR2083224,43.22,-79.62,no
SRR2083223,42.86,-79.39,no
SRR2083222,42.87,-79.4,no
SRR2083221,42.87,-79.42,no
SRR2083220,42.87,-79.4,no
SRR2083219,42.87,-79.23,no
SRR2083218,42.87,-79.43,no
SRR2083217,43.2,-79.27,no
SRR2083216,43.26,-79.07,no
SRR2083215,43.22,-79.62,no
SRR2083214,42.87,-79.4,no
SRR2083213,42.87,-79.23,no
SRR2016484,44.90415,-93.190417,no
SRR2016482,44.90415,-93.190417,yes
SRR1994395,31.27,120.26,no
SRR1972501,31.27,120.26,no
SRR1917538,40.968,-124.226,no
SRR1582517,40.013,116.385,no
SRR1582516,40.013,116.385,no
SRR1582515,40.013,116.385,no
SRR1582514,40.013,116.385,no
SRR1582512,40.014,116.38,no
SRR1582511,40.017,116.379,no
SRR1582510,40.017,116.379,no
SRR1582509,40.015,116.39,no
SRR1582508,40.013,116.388,no
SRR1582507,40.013,116.385,no
SRR1582506,40.012,116.383,no
SRR1582501,40.012,116.381,no
SRR1582500,40.012,116.381,no
SRR1581195,40.013,116.385,no
SRR1581191,40.013,116.385,no
SRR1581188,40.013,116.385,no
SRR1523359,33.049631,-117.291353,no
SRR1523356,33.049631,-117.291353,no
SRR1523360,33.049631,-117.291353,no
SRR1173877,38.5355,-0.2663,no
SRR1169884,44.3144,-91.996,no
SRR1169883,43.8567,-91.3033,no
SRR1169882,44.5669,-92.5377,no
SRR1169878,44.7488,-92.8057,yes
SRR1169874,44.7458,-92.8502,no
SRR1169873,44.9179,-93.129,no
SRR1169871,44.8856,-93.1741,no
SRR1169870,44.9042,-93.1904,no
SRR1169861,45.4195,-94.0422,no
SRR1169860,45.5476,-94.1455,no
SRR1169859,47.3473,-95.1825,yes
SRR1044925,44.917867,-93.128967,no
SRR1044924,44.917867,-93.128967,no
SRR1044687,44.917867,-93.128967,no
SRR1044686,44.917867,-93.128967,no
SRR1044685,44.917867,-93.128967,no
SRR1044684,44.917867,-93.128967,no
SRR1044683,44.917867,-93.128967,no
SRR1044682,44.917867,-93.128967,no
SRR1044681,44.917867,-93.128967,no
SRR1044679,44.917867,-93.128967,no
SRR1044678,44.917867,-93.128967,no
SRR1044677,44.917867,-93.128967,no
SRR1039498,44.917867,-93.128967,no
SRR1039496,44.917867,-93.128967,no
SRR1039494,44.917867,-93.128967,no
SRR1039491,44.917867,-93.128967,no
SRR1039490,44.917867,-93.128967,no
SRR1039488,44.917867,-93.128967,no
SRR1039486,44.917867,-93.128967,no
SRR1039484,44.917867,-93.128967,no
SRR1039483,44.917867,-93.128967,no
SRR1039482,44.917867,-93.128967,no
SRR1039480,44.917867,-93.128967,no
SRR1039479,44.917867,-93.128967,no
SRR1039478,44.917867,-93.128967,no
SRR947737,34.261117,-83.950069,yes
SRR14576896,30.46,120.12,no
SRR14576897,30.46,120.13,no
